label,class_idx,train_support,test_support,predicted_positives,precision,recall,f1,average_precision,roc_auc
CCSR_NEO036,333,32,1,4,0.25,1.0,0.4,1.0,1.0
CCSR_NEO063,359,19,2,3,0.6666666666666666,1.0,0.8,1.0,1.0
CCSR_INF006,151,4065,533,657,0.8006088280060882,0.9868667917448405,0.8840336134453781,0.9497137844114127,0.9979183428300619
CCSR_NVS005,377,957,79,87,0.8735632183908046,0.9620253164556962,0.9156626506024096,0.9428705498731171,0.9908081802350954
CCSR_NEO023,320,169,20,24,0.75,0.9,0.8181818181818182,0.8546416313407924,0.9880962836910577
CCSR_NEO058,354,5058,638,1332,0.4527027027027027,0.945141065830721,0.6121827411167513,0.846151295985928,0.9784958571135686
CCSR_NEO065,361,1684,180,242,0.7024793388429752,0.9444444444444444,0.8056872037914692,0.8212483101991704,0.9859157421252454
CCSR_MBD017,250,12960,1990,8035,0.23609209707529558,0.9532663316582914,0.37845386533665837,0.7765657602054761,0.9416045729973186
CCSR_NEO062,358,215,28,41,0.6341463414634146,0.9285714285714286,0.7536231884057971,0.775391040661037,0.9963401143861357
CCSR_GEN003,122,33581,4061,12430,0.32099758648431215,0.9825166215217926,0.48390030925959615,0.7497698085431547,0.9165199058739105
CCSR_NVS007,379,456,58,71,0.7323943661971831,0.896551724137931,0.8062015503875969,0.7341009074029461,0.9688974204794847
CCSR_CIR011,21,33828,4142,12961,0.3126301982871692,0.9782713664896185,0.47383499970765364,0.7334388893024133,0.9116284716268805
CCSR_CIR017,27,28801,3800,14770,0.24773188896411646,0.9628947368421052,0.3940764674205708,0.7249803277177103,0.8861849578750507
CCSR_NEO060,356,1101,161,263,0.5475285171102662,0.8944099378881988,0.6792452830188679,0.7132232596290777,0.9891905673629218
CCSR_CIR019,29,30752,4023,12299,0.31978209610537445,0.9776286353467561,0.4819262345300821,0.7008675606358102,0.8985698387361177
CCSR_END003,82,25097,3180,9463,0.3291767938285956,0.9795597484276729,0.4927627936407498,0.688033620703308,0.9195450265928675
CCSR_NEO059,355,433,11,24,0.3333333333333333,0.7272727272727273,0.45714285714285713,0.6876911441397532,0.8862314575581338
CCSR_NEO061,357,794,101,140,0.6428571428571429,0.8910891089108911,0.7468879668049793,0.6875132206799882,0.9825490682063354
CCSR_END010,86,52559,6218,15269,0.4034972820747921,0.9908330652943068,0.5734630241541397,0.686192485359234,0.8556009447462447
CCSR_CIR007,17,50748,6198,16971,0.3604973189558659,0.9870926105195225,0.5281194699814408,0.6739607392059087,0.8125461066742294
CCSR_NEO051,348,1170,154,259,0.5096525096525096,0.8571428571428571,0.639225181598063,0.6730421332180924,0.9737132026851654
CCSR_RSP008,435,16660,2411,11356,0.19927791475871787,0.9386146827042721,0.3287571729498075,0.6663700385957881,0.8996765582658739
CCSR_NEO048,345,335,38,44,0.6590909090909091,0.7631578947368421,0.7073170731707317,0.6529613005899167,0.9462882575965712
CCSR_MAL009,234,128,27,54,0.4074074074074074,0.8148148148148148,0.5432098765432098,0.6420245361233429,0.9506193178351334
CCSR_END001,80,20293,2430,11606,0.19981044287437533,0.9543209876543209,0.3304360216585922,0.6333221250365791,0.907906600216969
CCSR_BLD005,5,972,122,237,0.4388185654008439,0.8524590163934426,0.5793871866295265,0.6273251979141445,0.9700773292670235
CCSR_DIG019,67,12933,1414,11532,0.11030176899063475,0.8995756718528995,0.19650857407693495,0.6209094402171749,0.8706992624178137
CCSR_DIG011,59,3692,419,1575,0.2273015873015873,0.8544152744630071,0.35907723169508526,0.6128961330601711,0.9409193352783956
CCSR_NEO070,366,7606,952,5312,0.16340361445783133,0.9117647058823529,0.2771392081736909,0.6109784589584142,0.9316080453008511
CCSR_FAC025,118,40269,5100,17013,0.2958913771821548,0.9870588235294118,0.45529778863112197,0.5881472834733225,0.8071949007965826
CCSR_INF007,152,10048,1198,5404,0.21021465581051074,0.9482470784641068,0.34413813995758863,0.5795684965379428,0.9432154614166598
CCSR_MUS003,264,2683,442,1361,0.2777369581190301,0.8552036199095022,0.4193011647254576,0.5762650829915417,0.9352444061896485
CCSR_NVS004,376,1523,205,558,0.30286738351254483,0.824390243902439,0.4429882044560944,0.5706811045595569,0.9494310926915834
CCSR_NEO018,315,345,58,100,0.48,0.8275862068965517,0.6075949367088608,0.5466564385229495,0.9698145453924668
CCSR_DIG004,52,37866,4529,17021,0.26091298983608485,0.9805696621770811,0.41215777262180975,0.5227780428651034,0.778731008731913
CCSR_END002,81,22685,2941,12455,0.22609393817743878,0.9574974498469908,0.3658093011171733,0.5170723157031176,0.8580130066695216
CCSR_RSP009,436,14348,1984,11310,0.16312997347480107,0.9299395161290323,0.27756882804272603,0.5145150711461403,0.8754024536165035
CCSR_MBD002,237,31593,3819,16424,0.22698490014612763,0.9761717727153705,0.36832485303561724,0.5062713044466257,0.7987101511228855
CCSR_NVS016,388,22021,2649,15795,0.1610003165558721,0.9599848999622499,0.27575363261765345,0.49894787050515327,0.8207701658592099
CCSR_GEN012,131,8933,1143,6980,0.15472779369627507,0.9448818897637795,0.26591160901144895,0.48974472250290363,0.9265002296498359
CCSR_MUS024,283,3502,444,1950,0.18512820512820513,0.8130630630630631,0.30158730158730157,0.48459429600057846,0.9277014115784981
CCSR_NVS009,381,8705,967,9125,0.09380821917808219,0.8852119958634953,0.16963931827189854,0.4816275178495456,0.8765576413061247
CCSR_END009,85,15269,1867,12260,0.1397226753670473,0.9175147295125871,0.242514334253557,0.47926354110593,0.8472375558645006
CCSR_CIR026,36,9464,1299,8033,0.14938379185858333,0.9237875288683602,0.2571795970852979,0.47493774660958066,0.8968015488448521
CCSR_MBD003,238,5383,759,3827,0.1808204860203815,0.9117259552042161,0.30178805058874836,0.4682599927361574,0.9339565749586796
CCSR_MUS033,292,8830,981,6683,0.13496932515337423,0.9194699286442406,0.23538622129436326,0.4615069102293177,0.9115263192592498
CCSR_FAC006,108,4147,498,1848,0.24242424242424243,0.8995983935742972,0.38192668371696503,0.4610718770149151,0.9559822241782961
CCSR_NEO057,353,380,76,94,0.5212765957446809,0.6447368421052632,0.5764705882352941,0.45939862244592233,0.9578412677252296
CCSR_NEO017,314,1480,144,463,0.2505399568034557,0.8055555555555556,0.38220757825370677,0.45813197574157366,0.9679602915799236
CCSR_NVS018,390,687,73,99,0.4444444444444444,0.6027397260273972,0.5116279069767442,0.44512513700446393,0.8949887327937545
CCSR_MBD001,236,5740,733,4715,0.1342523860021209,0.8635743519781719,0.23237885462555066,0.4418634688439292,0.8975454606672636
CCSR_PRG011,409,324,55,184,0.21195652173913043,0.7090909090909091,0.3263598326359833,0.44044662832955983,0.9744692553074469
CCSR_NEO006,303,22,5,5,0.6,0.6,0.6,0.4342857142857143,0.9991992101799034
CCSR_DIG020,68,5264,759,8177,0.07631160572337042,0.8221343873517787,0.1396598030438675,0.432552658041991,0.8282695233955701
CCSR_CIR005,15,5131,614,5508,0.09640522875816994,0.8648208469055375,0.17347272133289773,0.4200457983285636,0.8889545254840756
CCSR_NEO066,362,269,25,60,0.2833333333333333,0.68,0.4,0.41095518470111236,0.9103821656050956
CCSR_NEO032,329,115,27,27,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.40979112361902276,0.9424410681961479
CCSR_NVS003,375,39,8,1,1.0,0.125,0.2222222222222222,0.39036426602672664,0.8730456964177957
CCSR_NEO011,308,22,21,0,0.0,0.0,0.0,0.38768805076710333,0.9831205429031515
CCSR_NEO022,319,2057,222,1348,0.12462908011869436,0.7567567567567568,0.2140127388535032,0.38230742889449026,0.9187212608111859
CCSR_NEO008,305,89,8,17,0.17647058823529413,0.375,0.24,0.3783130509961755,0.7487314169729552
CCSR_MBD005,240,20233,2329,15575,0.14170144462279294,0.9476170030055818,0.24653708668453977,0.37684796360616635,0.7739730748929575
CCSR_INJ036,191,4264,484,2506,0.17358339984038307,0.8987603305785123,0.2909698996655518,0.3752435166073563,0.9438194126659072
CCSR_DIG008,56,6029,910,8721,0.0804953560371517,0.7714285714285715,0.14577925449070708,0.3734546801718487,0.7871210021582272
CCSR_NEO033,330,425,80,136,0.4411764705882353,0.75,0.5555555555555556,0.37232729554221355,0.9697878228782286
CCSR_MAL003,229,817,55,376,0.10372340425531915,0.7090909090909091,0.18097447795823665,0.36501230517752065,0.8517924820751793
CCSR_NEO015,312,1053,126,712,0.13342696629213482,0.753968253968254,0.22673031026252982,0.364995634817126,0.9159554440737148
CCSR_NEO040,337,38,5,1,0.0,0.0,0.0,0.3629670329670329,0.9995612110574813
CCSR_NEO025,322,202,16,73,0.1506849315068493,0.6875,0.24719101123595505,0.3594022305070941,0.9961994402063554
CCSR_MBD012,247,5314,720,5135,0.12366114897760468,0.8819444444444444,0.21690862510674638,0.35897790609937347,0.903610302372933
CCSR_CIR025,35,3991,518,4243,0.09780815460758897,0.8011583011583011,0.17433312329342576,0.34374039281570967,0.8746388548296105
CCSR_EYE003,96,3873,497,4488,0.0944741532976827,0.8531187122736419,0.17011033099297893,0.3410682576336261,0.8940162394887929
CCSR_END011,87,33400,4057,17557,0.22828501452412142,0.9879221099334483,0.3708707319330064,0.33965477967338287,0.6620305307339384
CCSR_MUS013,274,7179,893,6932,0.11136757068667051,0.864501679731243,0.19731629392971245,0.3344190881195957,0.8669560333446281
CCSR_CIR039,48,4847,636,6090,0.0832512315270936,0.7971698113207547,0.15075825156110614,0.3330411620751059,0.8341834136782537
CCSR_GEN002,121,24391,2906,16423,0.1731108810814102,0.9783207157604955,0.2941693827926949,0.3319289745048149,0.7398350206767902
CCSR_NEO013,310,381,58,92,0.3804347826086957,0.603448275862069,0.4666666666666667,0.3278772702352342,0.9165937961763383
CCSR_BLD008,8,2888,405,2608,0.11042944785276074,0.7111111111111111,0.19117158977763027,0.3251135694603275,0.8585683803288857
CCSR_MBD007,242,5572,693,7835,0.07632418634333121,0.862914862914863,0.1402439024390244,0.3182951271975791,0.845171266768394
CCSR_MBD009,244,2083,385,1833,0.16202945990180032,0.7714285714285715,0.2678088367899008,0.31784303517917467,0.9120592548835884
CCSR_MBD018,251,3835,503,3994,0.10315473209814723,0.8190854870775348,0.18323326662219258,0.3164209211194147,0.8697427479781288
CCSR_NEO035,332,240,42,60,0.3333333333333333,0.47619047619047616,0.39215686274509803,0.31528407124276686,0.9112877687486096
CCSR_PRG019,417,224,25,49,0.20408163265306123,0.4,0.2702702702702703,0.30032753674304974,0.9126422139248846
CCSR_DIG023,71,1679,218,1501,0.1039307128580946,0.7155963302752294,0.18150087260034903,0.29427817794852246,0.8908490324433282
CCSR_PRG028,426,1075,99,443,0.16027088036117382,0.7171717171717171,0.26199261992619927,0.29213143767584265,0.9668620820622145
CCSR_NEO075,371,853,80,300,0.23,0.8625,0.3631578947368421,0.2886370236227023,0.98317522167759
CCSR_NEO045,342,635,67,257,0.15953307392996108,0.6119402985074627,0.25308641975308643,0.2876753023906899,0.8973319971414255
CCSR_NVS011,383,6977,785,10434,0.06507571401188422,0.8649681528662421,0.1210446563864872,0.28645221336023335,0.8122423141325944
CCSR_DIG017,65,5327,691,10838,0.05176231777080642,0.8118668596237337,0.09731980223783503,0.2834436306458386,0.7609416340063241
CCSR_NEO039,336,936,103,831,0.08182912154031288,0.6601941747572816,0.145610278372591,0.27192203947450655,0.892596217372077
CCSR_NEO030,327,905,118,506,0.15019762845849802,0.6440677966101694,0.24358974358974358,0.26766999492770055,0.8788325954307725
CCSR_CIR014,24,6850,994,10117,0.07966788573687852,0.8108651911468813,0.14508145081450816,0.26712943895289515,0.7763259076584427
CCSR_MBD010,245,712,75,143,0.22377622377622378,0.4266666666666667,0.29357798165137616,0.2669760405514555,0.9165602173035274
CCSR_MBD021,254,2886,464,2654,0.13413715146948002,0.7672413793103449,0.2283515073765234,0.2645348234384436,0.9040217071807876
CCSR_SKN004,448,5608,709,7195,0.07866574009728979,0.7983074753173484,0.14321862348178138,0.26393285310252446,0.8107200954797128
CCSR_MBD014,249,2566,284,2104,0.10076045627376426,0.7464788732394366,0.17755443886097153,0.2624548042868381,0.8757298007394895
CCSR_PRG020,418,458,40,206,0.12135922330097088,0.625,0.2032520325203252,0.2620491269534963,0.9235265428367312
CCSR_END014,90,1633,152,1578,0.07351077313054499,0.7631578947368421,0.13410404624277455,0.26117798947582915,0.9043959082112247
CCSR_NEO020,317,72,8,8,0.375,0.375,0.375,0.25902982451237677,0.935981128970322
CCSR_PRG023,421,739,74,381,0.14435695538057744,0.7432432432432432,0.24175824175824176,0.25867738248511485,0.9772357971581669
CCSR_NVS019,391,13029,1587,16026,0.09147635092973917,0.923755513547574,0.1664679498097996,0.25695846847269055,0.7220329403127135
CCSR_SYM006,457,15116,1906,16958,0.10673428470338484,0.9496327387198321,0.19189991518235794,0.2522634779901546,0.690965729755299
CCSR_CIR003,13,6890,855,8700,0.08402298850574713,0.8549707602339182,0.15300889586603872,0.2517180869942949,0.8292361662027197
CCSR_PRG026,424,331,44,304,0.10855263157894737,0.75,0.1896551724137931,0.25148132230177966,0.9579371186720167
CCSR_BLD006,6,13108,1590,15187,0.09514716533877658,0.9088050314465409,0.17225964117541873,0.24821895340791078,0.7301478763809219
CCSR_PRG018,416,113,7,66,0.030303030303030304,0.2857142857142857,0.0547945205479452,0.2377802900595964,0.9933586709505524
CCSR_NEO037,334,22,5,0,0.0,0.0,0.0,0.2351365004808223,0.8504607283896446
CCSR_GEN004,123,13586,1633,15685,0.09716289448517693,0.9332516840171463,0.17600184778842823,0.23155703596072444,0.7150870801463963
CCSR_NVS022,394,51,12,1,1.0,0.08333333333333333,0.15384615384615385,0.2309358098631266,0.7131504343850023
CCSR_MUS006,267,8862,1005,11971,0.07426280177094645,0.8845771144278607,0.1370221948212084,0.2212245133946377,0.785254726830102
CCSR_NVS008,380,1889,264,3298,0.041237113402061855,0.5151515151515151,0.0763615946097698,0.22101276069441586,0.6876984247414895
CCSR_NEO012,309,280,24,47,0.23404255319148937,0.4583333333333333,0.30985915492957744,0.21618657200855687,0.8373826387745017
CCSR_NVS010,382,7240,952,13643,0.058125045811038625,0.832983193277311,0.10866735183281946,0.21385308194323277,0.7131155456107812
CCSR_NEO074,370,4703,553,4014,0.11434977578475336,0.8300180831826401,0.20100722574994526,0.21055616628502508,0.881992508220465
CCSR_NEO021,318,308,43,106,0.20754716981132076,0.5116279069767442,0.2953020134228188,0.2084041860985697,0.939318098734313
CCSR_PRG012,410,79,8,22,0.18181818181818182,0.5,0.26666666666666666,0.2059820278363826,0.9585961928794777
CCSR_RSP007,434,2586,379,7753,0.029665935766799947,0.6068601583113457,0.05656665027053615,0.20526901571418,0.6742727219805851
CCSR_MUS011,272,8795,1122,14005,0.06783291681542307,0.8467023172905526,0.12560322601969987,0.2043390370429543,0.7182942483555981
CCSR_PRG014,412,45,6,8,0.125,0.16666666666666666,0.14285714285714285,0.19780581482300535,0.861133965955424
CCSR_BLD003,3,17834,2222,17526,0.12290311537144813,0.9693969396939695,0.21814867328337048,0.19549894009602736,0.6335720646682215
CCSR_PRG022,420,78,11,22,0.09090909090909091,0.18181818181818182,0.12121212121212122,0.1926472906091879,0.8828845904452182
CCSR_NEO024,321,389,32,73,0.1917808219178082,0.4375,0.26666666666666666,0.18952305860308008,0.8945687997802801
